beat_id,percent,date
1,1.489795918367347,2014
1,1.4675324675324675,2015
1,1,2016
2,1.523076923076923,2014
2,1,2015
2,1.554307116104869,2016
3,1,2015
4,4.614285714285714,2014
4,5.78125,2015
4,1.9871794871794872,2016
6,1.5767195767195767,2014
7,1.476608187134503,2014
7,1.4392905866302865,2015
7,1.3789473684210527,2016
8,1.7905236907730673,2014
8,1.7203557312252964,2015
8,1.6264445955132563,2016
9,1.5853658536585367,2014
9,1,2016
10,1.6181818181818182,2014
10,1.5098039215686274,2015
12,1.3043478260869565,2014
12,1,2015
14,1,2015
15,1.7777777777777777,2014
15,1,2015
15,2.0327868852459017,2016
22,1.699248120300752,2014
22,1.8137254901960784,2015
22,1.499535747446611,2016
23,1,2015
23,1.25,2016
24,5.027777777777778,2014
24,10.375,2015
25,1,2014
30,1,2015
32,2.024449877750611,2014
32,1.7903930131004366,2015
35,1.5,2015
35,1,2016
39,2.1904761904761907,2014
42,4.214285714285714,2014
42,1.7142857142857142,2015
42,3.326923076923077,2016
43,2.3983050847457625,2014
43,4.850746268656716,2015
44,3.5714285714285716,2014
44,10.636363636363637,2015
44,5.370786516853933,2016
45,2.2002670226969294,2014
45,2.289308176100629,2015
45,2.005753739930955,2016
46,1.8333333333333333,2014
46,1.6910229645093946,2015
46,1.8050139275766017,2016
47,1.703862660944206,2014
47,1.648729446935725,2015
47,2.069736842105263,2016
48,2.6759581881533103,2014
48,2.0551181102362204,2015
48,1.8395061728395061,2016
49,1.7841059602649008,2014
49,1.7272727272727273,2015
50,1.5950617283950617,2014
50,2.2557377049180327,2015
50,2.440677966101695,2016
51,1.7856093979441998,2014
51,1.6261180679785332,2015
51,2.164983164983165,2016
54,1.829268292682927,2014
54,1.7617728531855956,2015
54,1.8433734939759037,2016
55,1.7360335195530727,2014
55,1.9337349397590362,2015
56,2.9579646017699117,2014
56,1.6906614785992218,2015
57,1.52875,2014
57,1.9971469329529243,2015
58,2.002808988764045,2014
58,2.065281899109792,2015
58,1.8920863309352518,2016
59,1.6420118343195267,2014
59,1.482225656877898,2015
59,2.05874840357599,2016
60,1.8459770114942529,2014
60,2.699074074074074,2015
60,1,2016
61,2.123249299719888,2014
61,1.7473841554559044,2015
61,1.5997536945812807,2016
62,3.1420911528150133,2014
62,1.5833333333333333,2015
63,1.3818615751789975,2014
63,1.7173913043478262,2015
63,1.6443514644351465,2016
64,1.59765625,2014
64,1.5677655677655677,2015
64,1.7136752136752136,2016
65,2.013447432762836,2014
65,2.3110119047619047,2015
65,2.4272030651340994,2016
66,1.863741339491917,2014
66,2.8741935483870966,2015
66,3.154185022026432,2016
67,1.9246575342465753,2014
67,1.9674220963172804,2015
67,2.774193548387097,2016
68,2.10352422907489,2014
68,1.9723756906077348,2015
68,1.9808612440191387,2016
69,1.4361370716510904,2014
69,1.5433403805496828,2015
69,1.9046711153479505,2016
71,1.1170731707317074,2014
71,1.5975794251134645,2015
71,1.4329446064139941,2016
72,2.3030927835051545,2014
72,1.7840670859538783,2015
72,1.3924914675767919,2016
73,1,2016
74,1,2015
78,1,2014
78,1,2016
80,1,2014
80,1,2016
84,1,2016
87,1.9465648854961832,2014
87,2,2015
87,2.9740259740259742,2016
95,1,2015
95,1,2016
126,3.5,2016
127,2.0851648351648353,2014
127,2.6210526315789475,2015
127,2.025,2016
128,2.7132075471698114,2014
128,1.9782608695652173,2015
130,2.8434782608695652,2014
130,7.28,2015
130,2.1176470588235294,2016
131,3.58974358974359,2014
131,2.526315789473684,2015
133,2.0504201680672267,2014
133,1.9414893617021276,2015
133,2.008241758241758,2016
134,2.4628378378378377,2014
134,2.7748091603053435,2015
134,1.9127358490566038,2016
135,1.8578680203045685,2014
135,1.6844660194174756,2015
135,1.8177339901477831,2016
141,1,2014
141,1,2016
142,1.8575063613231553,2014
142,1.8409090909090908,2015
142,1.850253807106599,2016
143,1.8571428571428572,2014
143,1.8814432989690721,2015
143,2.0362116991643453,2016
144,2.0131147540983605,2014
144,2.2018072289156625,2015
144,1.8963730569948187,2016
145,1.8911917098445596,2014
145,1.850253807106599,2015
145,1.952,2016
147,3.46875,2014
147,1,2015
147,1,2016
149,2.40893470790378,2014
149,1.8048192771084337,2015
149,1.8888888888888888,2016
150,2.3925925925925924,2014
150,1.8254847645429362,2015
154,1.872972972972973,2014
154,1.7663934426229508,2015
154,1.8963730569948187,2016
158,1.5625,2014
158,1.5480769230769231,2015
158,1.8777777777777778,2016
159,1.6102305475504324,2014
159,1.8082077051926297,2015
159,1.9951124144672532,2016
162,1.5326704545454546,2014
162,1.7593360995850622,2015
163,1,2014
163,1,2015
164,1,2014
164,1,2015
165,1,2016
166,2,2016
167,1.6495956873315365,2014
167,1.6464088397790055,2015
167,1.8695652173913044,2016
169,1,2015
169,1.25,2016
177,1.4475138121546962,2014
177,1.6764705882352942,2015
177,1.6174242424242424,2016
178,2.2140845070422537,2014
178,1.6931818181818181,2015
179,2.132183908045977,2014
179,1.6008230452674896,2015
180,1.5170454545454546,2014
180,1.5231481481481481,2015
180,1.75,2016
181,1.5794392523364487,2014
181,1.5721153846153846,2015
181,1.6743119266055047,2016
182,1.5664739884393064,2014
182,1.5272727272727273,2015
184,1.775,2014
184,1.7868020304568528,2015
184,1.8484848484848484,2016
185,1.8534031413612566,2014
185,1.6245210727969348,2015
185,1.6550387596899225,2016
186,1.4516129032258065,2014
186,1.4840182648401827,2015
186,1.6381322957198443,2016
187,1.7219251336898396,2014
187,1.5689655172413792,2015
188,1.9945652173913044,2014
188,2.0225563909774436,2015
189,1.8527918781725887,2014
189,1.8383838383838385,2015
189,1.8484848484848484,2016
190,2.225806451612903,2014
190,2.0112994350282487,2015
190,1.8223350253807107,2016
191,1.9135135135135135,2014
191,1.9301075268817205,2015
192,2.6222222222222222,2014
192,3.3773584905660377,2015
192,1.8556701030927836,2016
193,3,2014
193,2.3508771929824563,2015
193,3.9285714285714284,2016
194,1.7298578199052133,2014
194,1.7632850241545894,2015
194,1.7881773399014778,2016
195,2.4352941176470586,2014
195,1.9,2015
195,1.9617486338797814,2016
196,2.005586592178771,2014
196,1.962162162162162,2015
196,1.970414201183432,2016
197,1.794871794871795,2014
197,1.8888888888888888,2015
197,1.795,2016
242,1.6754385964912282,2014
242,1.6666666666666667,2015
242,1.736842105263158,2016
244,1,2015
252,1.90625,2014
252,1.905759162303665,2015
252,2.0508474576271185,2016
255,2.034090909090909,2014
255,1.951086956521739,2015
255,2.7567567567567566,2016
256,1.9395604395604396,2014
256,1.8274111675126903,2015
256,1.859375,2016
258,1.766990291262136,2014
258,1.692874692874693,2015
258,1.6079545454545454,2016
259,2.0985915492957745,2014
259,3.5961538461538463,2015
259,2.7829457364341086,2016
